beat_time(s)	downbeat_time(s)	beat_pos	global_beat	bar_num
0.069660	0.069660	1	0	1
0.580499	0.069660	2	1	1
1.091338	0.069660	3	2	1
1.602177	0.069660	4	3	1
2.113016	2.113016	1	4	2
2.623855	2.113016	2	5	2
3.134694	2.113016	3	6	2
3.622313	2.113016	4	7	2
4.133152	4.133152	1	8	3
4.643991	4.133152	2	9	3
5.154830	4.133152	3	10	3
5.665669	4.133152	4	11	3
6.176508	6.176508	1	12	4
6.687347	6.176508	2	13	4
7.198186	6.176508	3	14	4
7.709025	6.176508	4	15	4
8.219864	8.219864	1	16	5
8.707483	8.219864	2	17	5
9.218322	8.219864	3	18	5
9.729161	8.219864	4	19	5
10.240000	10.240000	1	20	6
10.750839	10.240000	2	21	6
11.261678	10.240000	3	22	6
11.772517	10.240000	4	23	6
12.283356	12.283356	1	24	7
12.770975	12.283356	2	25	7
13.281814	12.283356	3	26	7
13.792653	12.283356	4	27	7
14.303492	14.303492	1	28	8
14.814331	14.303492	2	29	8
15.325170	14.303492	3	30	8
15.836009	14.303492	4	31	8
16.346848	16.346848	1	32	9
16.857687	16.346848	2	33	9
17.368526	16.346848	3	34	9
17.856145	16.346848	4	35	9
18.366984	18.366984	1	36	10
18.877823	18.366984	2	37	10
19.388662	18.366984	3	38	10
19.899501	18.366984	4	39	10
20.410340	20.410340	1	40	11
20.921179	20.410340	2	41	11
21.432018	20.410340	3	42	11
21.942857	20.410340	4	43	11
22.453696	22.453696	1	44	12
22.941315	22.453696	2	45	12
23.452154	22.453696	3	46	12
23.962993	22.453696	4	47	12
24.473832	24.473832	1	48	13
24.984671	24.473832	2	49	13
25.495510	24.473832	3	50	13
26.006349	24.473832	4	51	13
26.517188	26.517188	1	52	14
27.028027	26.517188	2	53	14
27.538866	26.517188	3	54	14
28.049705	26.517188	4	55	14
28.560544	28.560544	1	56	15
29.048163	28.560544	2	57	15
29.559002	28.560544	3	58	15
30.069841	28.560544	4	59	15
30.580680	30.580680	1	60	16
31.091519	30.580680	2	61	16
31.602358	30.580680	3	62	16
32.113197	30.580680	4	63	16
32.624036	32.624036	1	64	17
33.111655	32.624036	2	65	17
33.622494	32.624036	3	66	17
34.133333	32.624036	4	67	17
34.644172	34.644172	1	68	18
35.155011	34.644172	2	69	18
35.665850	34.644172	3	70	18
36.176689	34.644172	4	71	18
36.687528	36.687528	1	72	19
37.198367	36.687528	2	73	19
37.709206	36.687528	3	74	19
38.220045	36.687528	4	75	19
38.707664	38.707664	1	76	20
39.218503	38.707664	2	77	20
39.729342	38.707664	3	78	20
40.240181	38.707664	4	79	20
40.751020	40.751020	1	80	21
41.261859	40.751020	2	81	21
41.772698	40.751020	3	82	21
42.283537	40.751020	4	83	21
42.771156	42.771156	1	84	22
43.281995	42.771156	2	85	22
43.792834	42.771156	3	86	22
