bar_num,downbeat_time_uncorrected_s,tempo_uncorrected_bpm,downbeat_time_corrected_s,tempo_corrected_bpm,usable
0,0.06966,117.45,0.06966,117.45,True
1,2.113016,118.8,2.113016,118.8,True
2,4.133152,117.45,4.133152,117.45,True
3,6.176508,117.45,6.176508,117.45,True
4,8.219864,118.8,8.219864,118.8,True
5,10.24,117.45,10.24,117.45,True
6,12.283356,118.8,12.283356,118.8,True
7,14.303492,117.45,14.303492,117.45,True
8,16.346848,118.8,16.346848,118.8,True
9,18.366984,117.45,18.366984,117.45,True
10,20.41034,117.45,20.41034,117.45,True
11,22.453696,118.8,22.453696,118.8,True
12,24.473832,117.45,24.473832,117.45,True
13,26.517188,117.45,26.517188,117.45,True
14,28.560544,118.8,28.560544,118.8,True
15,30.58068,117.45,30.58068,117.45,True
16,32.624036,118.8,32.624036,118.8,True
17,34.644172,117.45,34.644172,117.45,True
18,36.687528,118.8,36.687528,118.8,True
19,38.707664,117.45,38.707664,117.45,True
20,40.75102,118.8,40.75102,118.8,True
21,42.771156,117.45,42.771156,117.45,True
22,44.814512,117.45,44.814512,118.8,True
23,46.857868,118.8,46.834649,117.45,True
24,48.878005,117.45,48.878005,117.45,True
25,50.921361,117.45,50.921361,118.8,True
26,52.964717,118.8,52.941497,117.45,True
27,54.984853,117.45,54.984853,117.45,True
28,57.028209,118.8,57.028209,118.8,True
29,59.048345,117.45,59.048345,117.45,True
30,61.091701,117.45,61.091701,117.45,True
31,63.135057,118.8,63.135057,118.8,True
32,65.155193,117.45,65.155193,117.45,True
33,67.198549,118.8,67.198549,118.8,True
34,69.218685,117.45,69.218685,117.45,True
35,71.262041,117.45,71.262041,117.45,True
36,73.305397,118.8,73.305397,118.8,True
37,75.325533,117.45,75.325533,117.45,True
38,77.368889,118.8,77.368889,118.8,True
39,79.389025,117.45,79.389025,117.45,True
40,81.432381,118.8,81.432381,118.8,True
41,83.452517,117.45,83.452517,117.45,True
42,85.495873,117.45,85.495873,117.45,True
43,87.539229,118.8,87.539229,118.8,True
44,89.559365,117.45,89.559365,117.45,True
45,91.602721,118.8,91.602721,118.8,True
46,93.622857,117.45,93.622857,117.45,True
47,95.666213,117.45,95.666213,117.45,True
48,97.709569,118.8,97.709569,118.8,True
49,99.729705,117.45,99.729705,117.45,True
50,101.773061,118.8,101.773061,118.8,True
51,103.793197,117.45,103.793197,117.45,True
52,105.836553,118.8,105.836553,118.8,True
53,107.856689,117.45,107.856689,117.45,True
54,109.900045,117.45,109.900045,117.45,True
55,111.943401,118.8,111.943401,118.8,True
56,113.963537,117.45,113.963537,117.45,True
57,116.006893,117.45,116.006893,117.45,True
58,118.050249,118.8,118.050249,118.8,True
59,120.070385,117.45,120.070385,117.45,True
60,122.113741,118.8,122.113741,118.8,True
61,124.133878,117.45,124.133878,117.45,True
62,126.177234,118.8,126.177234,118.8,True
63,128.19737,117.45,128.19737,117.45,True
64,130.240726,117.45,130.240726,117.45,True
65,132.284082,118.8,132.284082,118.8,True
66,134.304218,117.45,134.304218,117.45,True
67,136.347574,118.8,136.347574,118.8,True
68,138.36771,117.45,138.36771,117.45,True
69,140.411066,117.45,140.411066,117.45,True
70,142.454422,118.8,142.454422,118.8,True
71,144.474558,117.45,144.474558,117.45,True
72,146.517914,118.8,146.517914,118.8,True
73,148.53805,117.45,148.53805,117.45,True
74,150.581406,117.45,150.581406,117.45,True
75,152.624762,118.8,152.624762,118.8,True
76,154.644898,117.45,154.644898,117.45,True
77,156.688254,118.8,156.688254,118.8,True
78,158.70839,117.45,158.70839,117.45,True
79,160.751746,117.45,160.751746,117.45,True
80,162.795102,118.8,162.795102,118.8,True
81,164.815238,117.45,164.815238,117.45,True
82,166.858594,118.8,166.858594,118.8,True
83,168.87873,117.45,168.87873,117.45,True
84,170.922086,118.8,170.922086,118.8,True
85,172.942222,117.45,172.942222,117.45,True
86,174.985578,117.45,174.985578,117.45,True
87,177.028934,117.45,177.028934,117.45,True
88,179.07229,118.8,179.07229,118.8,True
89,181.092426,118.8,181.092426,118.8,True
90,183.112562,117.45,183.112562,117.45,True
91,185.155918,117.45,185.155918,117.45,True
92,187.199274,118.8,187.199274,118.8,True
93,189.21941,117.45,189.21941,117.45,True
94,191.262766,118.8,191.262766,118.8,True
95,193.282902,117.45,193.282902,117.45,True
96,195.326259,117.45,195.326259,117.45,True
97,197.369615,118.8,197.369615,118.8,True
98,199.389751,117.45,199.389751,117.45,True
99,201.433107,117.45,201.433107,117.45,True
100,203.476463,118.8,203.476463,118.8,True
101,205.496599,117.45,205.496599,117.45,True
102,207.539955,118.8,207.539955,118.8,True
103,209.560091,118.8,209.560091,118.8,True
104,211.580227,117.45,211.580227,118.8,True
105,213.623583,,,,False
