# time_signature=4
# dominant_major=normal
# factor2_orientation=
# filter_percent=±10.000%
# base_avg_corrected=118.02
# avg_kept_corrected=118.02
# usable_base_bpm=117.45
# usable_count=105
# total_bars=105
# bpm_charts_threshold=135.0
# double_bpm_chart_adjusted=True
corrected_bar_num	bar_num	corrected_downbeat_time(s)	next_downbeat_time(s)	duration_s	tempo_bpm	usable	bpm_threshold	action	removed_downbeat_time(s)	inserted_downbeat_time(s)
1	1	0.069660	2.113016	2.043356	117.45	1	none	unchanged		
2	2	2.113016	4.133152	2.020136	118.80	1	none	unchanged		
3	3	4.133152	6.176508	2.043356	117.45	1	none	unchanged		
4	4	6.176508	8.219864	2.043356	117.45	1	none	unchanged		
5	5	8.219864	10.240000	2.020136	118.80	1	none	unchanged		
6	6	10.240000	12.283356	2.043356	117.45	1	none	unchanged		
7	7	12.283356	14.303492	2.020136	118.80	1	none	unchanged		
8	8	14.303492	16.346848	2.043356	117.45	1	none	unchanged		
9	9	16.346848	18.366984	2.020136	118.80	1	none	unchanged		
10	10	18.366984	20.410340	2.043356	117.45	1	none	unchanged		
11	11	20.410340	22.453696	2.043356	117.45	1	none	unchanged		
12	12	22.453696	24.473832	2.020136	118.80	1	none	unchanged		
13	13	24.473832	26.517188	2.043356	117.45	1	none	unchanged		
14	14	26.517188	28.560544	2.043356	117.45	1	none	unchanged		
15	15	28.560544	30.580680	2.020136	118.80	1	none	unchanged		
16	16	30.580680	32.624036	2.043356	117.45	1	none	unchanged		
17	17	32.624036	34.644172	2.020136	118.80	1	none	unchanged		
18	18	34.644172	36.687528	2.043356	117.45	1	none	unchanged		
19	19	36.687528	38.707664	2.020136	118.80	1	none	unchanged		
20	20	38.707664	40.751020	2.043356	117.45	1	none	unchanged		
21	21	40.751020	42.771156	2.020136	118.80	1	none	unchanged		
22	22	42.771156	44.814512	2.043356	117.45	1	none	unchanged		
23	23	44.814512	46.834649	2.020137	118.80	1	none	unchanged		
24	24	46.834649	48.878005	2.043356	117.45	1	none	unchanged		
25	25	48.878005	50.921361	2.043356	117.45	1	none	unchanged		
26	26	50.921361	52.941497	2.020136	118.80	1	none	unchanged		
27	27	52.941497	54.984853	2.043356	117.45	1	none	unchanged		
28	28	54.984853	57.028209	2.043356	117.45	1	none	unchanged		
29	29	57.028209	59.048345	2.020136	118.80	1	none	unchanged		
30	30	59.048345	61.091701	2.043356	117.45	1	none	unchanged		
31	31	61.091701	63.135057	2.043356	117.45	1	none	unchanged		
32	32	63.135057	65.155193	2.020136	118.80	1	none	unchanged		
33	33	65.155193	67.198549	2.043356	117.45	1	none	unchanged		
34	34	67.198549	69.218685	2.020136	118.80	1	none	unchanged		
35	35	69.218685	71.262041	2.043356	117.45	1	none	unchanged		
36	36	71.262041	73.305397	2.043356	117.45	1	none	unchanged		
37	37	73.305397	75.325533	2.020136	118.80	1	none	unchanged		
38	38	75.325533	77.368889	2.043356	117.45	1	none	unchanged		
39	39	77.368889	79.389025	2.020136	118.80	1	none	unchanged		
40	40	79.389025	81.432381	2.043356	117.45	1	none	unchanged		
41	41	81.432381	83.452517	2.020136	118.80	1	none	unchanged		
42	42	83.452517	85.495873	2.043356	117.45	1	none	unchanged		
43	43	85.495873	87.539229	2.043356	117.45	1	none	unchanged		
44	44	87.539229	89.559365	2.020136	118.80	1	none	unchanged		
45	45	89.559365	91.602721	2.043356	117.45	1	none	unchanged		
46	46	91.602721	93.622857	2.020136	118.80	1	none	unchanged		
47	47	93.622857	95.666213	2.043356	117.45	1	none	unchanged		
48	48	95.666213	97.709569	2.043356	117.45	1	none	unchanged		
49	49	97.709569	99.729705	2.020136	118.80	1	none	unchanged		
50	50	99.729705	101.773061	2.043356	117.45	1	none	unchanged		
51	51	101.773061	103.793197	2.020136	118.80	1	none	unchanged		
52	52	103.793197	105.836553	2.043356	117.45	1	none	unchanged		
53	53	105.836553	107.856689	2.020136	118.80	1	none	unchanged		
54	54	107.856689	109.900045	2.043356	117.45	1	none	unchanged		
55	55	109.900045	111.943401	2.043356	117.45	1	none	unchanged		
