beat_time(s)	downbeat_time(s)	beat_pos	global_beat	bar_num
0.208980	0.208980	1	0	1
1.207438	0.208980	2	1	1
2.066576	0.208980	3	2	1
2.879274	2.856054	1	3	2
3.854512	2.856054	2	4	2
4.736871	2.856054	3	5	2
5.572789	5.526349	1	6	3
6.548027	5.526349	2	7	3
7.407166	5.526349	3	8	3
8.196644	8.196644	1	9	4
8.846803	8.196644	2	10	4
9.520181	8.196644	3	11	4
10.240000	8.196644	4	12	4
10.843719	10.843719	1	13	5
11.517098	10.843719	2	14	5
12.167256	10.843719	3	15	5
12.817415	10.843719	4	16	5
13.467574	13.467574	1	17	6
14.187392	13.467574	2	18	6
14.860771	13.467574	3	19	6
15.510930	13.467574	4	20	6
16.207528	16.184308	1	21	7
16.857687	16.184308	2	22	7
17.507846	16.184308	3	23	7
18.181224	16.184308	4	24	7
18.854603	18.854603	1	25	8
19.504762	18.854603	2	26	8
20.178141	18.854603	3	27	8
20.897959	18.854603	4	28	8
21.524898	21.524898	1	29	9
22.198277	21.524898	2	30	9
22.848435	21.524898	3	31	9
23.521814	21.524898	4	32	9
24.171973	24.171973	1	33	10
24.845351	24.171973	2	34	10
25.518730	24.171973	3	35	10
26.192109	24.171973	4	36	10
26.842268	26.842268	1	37	11
27.515646	26.842268	2	38	11
28.189025	26.842268	3	39	11
28.862404	26.842268	4	40	11
29.512562	29.512562	1	41	12
30.185941	29.512562	2	42	12
30.859320	29.512562	3	43	12
31.509478	29.512562	4	44	12
32.182857	32.182857	1	45	13
32.856236	32.182857	2	46	13
33.506395	32.182857	3	47	13
34.179773	32.182857	4	48	13
34.853152	34.853152	1	49	14
35.526531	34.853152	2	50	14
36.176689	34.853152	3	51	14
36.850068	34.853152	4	52	14
37.523447	37.523447	1	53	15
38.173605	37.523447	2	54	15
38.846984	37.523447	3	55	15
39.520363	37.523447	4	56	15
40.193741	40.193741	1	57	16
40.843900	40.193741	2	58	16
41.517279	40.193741	3	59	16
42.190658	40.193741	4	60	16
42.840816	42.840816	1	61	17
43.514195	42.840816	2	62	17
44.187574	42.840816	3	63	17
44.860952	42.840816	4	64	17
45.511111	45.511111	1	65	18
46.184490	45.511111	2	66	18
46.834649	45.511111	3	67	18
47.508027	45.511111	4	68	18
48.181406	48.181406	1	69	19
48.854785	48.181406	2	70	19
49.528163	48.181406	3	71	19
50.178322	48.181406	4	72	19
50.851701	50.851701	1	73	20
51.525079	50.851701	2	74	20
52.175238	50.851701	3	75	20
52.848617	50.851701	4	76	20
53.498776	50.851701	5	77	20
54.172154	53.521995	1	78	21
54.845533	53.521995	2	79	21
55.518912	53.521995	3	80	21
56.169070	56.169070	1	81	22
56.842449	56.169070	2	82	22
57.515828	56.169070	3	83	22
58.189206	56.169070	4	84	22
58.839365	58.839365	1	85	23
59.512744	58.839365	2	86	23
60.162902	58.839365	3	87	23
60.836281	58.839365	4	88	23
61.509660	61.509660	1	89	24
62.183039	61.509660	2	90	24
62.833197	61.509660	3	91	24
63.506576	61.509660	4	92	24
64.179955	64.179955	1	93	25
64.853333	64.179955	2	94	25
65.503492	64.179955	3	95	25
66.176871	64.179955	4	96	25
66.850249	66.850249	1	97	26
67.500408	66.850249	2	98	26
68.173787	66.850249	3	99	26
68.847166	66.850249	4	100	26
69.520544	69.520544	1	101	27
70.170703	69.520544	2	102	27
70.844082	69.520544	3	103	27
71.517460	69.520544	4	104	27
72.167619	72.167619	1	105	28
72.840998	72.167619	2	106	28
73.514376	72.167619	3	107	28
74.187755	72.167619	4	108	28
74.837914	74.837914	1	109	29
75.511293	74.837914	2	110	29
76.184671	74.837914	3	111	29
76.858050	74.837914	4	112	29
77.508209	77.508209	1	113	30
78.181587	77.508209	2	114	30
78.854966	77.508209	3	115	30
79.505125	77.508209	4	116	30
80.178503	80.178503	1	117	31
80.851882	80.178503	2	118	31
81.502041	80.178503	3	119	31
82.175420	80.178503	4	120	31
82.848798	82.848798	1	121	32
83.498957	82.848798	2	122	32
84.172336	82.848798	3	123	32
84.845714	82.848798	4	124	32
85.519093	85.519093	1	125	33
86.192472	85.519093	2	126	33
86.842630	85.519093	3	127	33
87.516009	85.519093	4	128	33
88.189388	88.189388	1	129	34
88.839546	88.189388	2	130	34
89.512925	88.189388	3	131	34
90.186304	88.189388	4	132	34
90.836463	90.836463	1	133	35
91.509841	90.836463	2	134	35
92.183220	90.836463	3	135	35
92.856599	90.836463	4	136	35
93.506757	93.506757	1	137	36
94.180136	93.506757	2	138	36
94.853515	93.506757	3	139	36
95.526893	93.506757	4	140	36
96.177052	96.177052	1	141	37
96.850431	96.177052	2	142	37
97.523810	96.177052	3	143	37
98.173968	96.177052	4	144	37
98.847347	98.847347	1	145	38
99.520726	98.847347	2	146	38
100.194104	98.847347	3	147	38
100.844263	98.847347	4	148	38
101.517642	101.517642	1	149	39
102.191020	101.517642	2	150	39
102.841179	101.517642	3	151	39
103.514558	101.517642	4	152	39
104.187937	104.187937	1	153	40
104.838095	104.187937	2	154	40
105.511474	104.187937	3	155	40
106.184853	104.187937	4	156	40
106.835011	106.835011	1	157	41
107.508390	106.835011	2	158	41
108.181769	106.835011	3	159	41
108.855147	106.835011	4	160	41
109.505306	109.505306	1	161	42
110.178685	109.505306	2	162	42
110.852063	109.505306	3	163	42
111.525442	109.505306	4	164	42
112.175601	112.175601	1	165	43
112.848980	112.175601	2	166	43
113.522358	112.175601	3	167	43
114.195737	112.175601	4	168	43
114.845896	114.845896	1	169	44
115.519274	114.845896	2	170	44
116.192653	114.845896	3	171	44
116.842812	114.845896	4	172	44
117.516190	117.516190	1	173	45
118.189569	117.516190	2	174	45
118.839728	117.516190	3	175	45
119.513107	117.516190	4	176	45
120.186485	120.186485	1	177	46
120.859864	120.186485	2	178	46
121.510023	120.186485	3	179	46
122.183401	120.186485	4	180	46
122.856780	122.856780	1	181	47
123.530159	122.856780	2	182	47
124.180317	122.856780	3	183	47
124.853696	122.856780	4	184	47
125.527075	125.527075	1	185	48
126.177234	125.527075	2	186	48
126.850612	125.527075	3	187	48
127.523991	125.527075	4	188	48
128.197370	128.197370	1	189	49
128.847528	128.197370	2	190	49
129.520907	128.197370	3	191	49
130.194286	128.197370	4	192	49
130.844444	130.844444	1	193	50
131.517823	130.844444	2	194	50
132.191202	130.844444	3	195	50
132.841361	130.844444	4	196	50
133.514739	133.514739	1	197	51
134.188118	133.514739	2	198	51
134.861497	133.514739	3	199	51
135.511655	133.514739	4	200	51
136.185034	136.185034	1	201	52
136.858413	136.185034	2	202	52
137.508571	136.185034	3	203	52
138.181950	136.185034	4	204	52
138.855329	138.855329	1	205	53
139.505488	138.855329	2	206	53
140.178866	138.855329	3	207	53
140.875465	138.855329	4	208	53
141.525624	141.525624	1	209	54
142.175782	141.525624	2	210	54
142.849161	141.525624	3	211	54
143.522540	141.525624	4	212	54
144.195918	144.195918	1	213	55
144.846077	144.195918	2	214	55
145.496236	144.195918	3	215	55
146.169615	144.195918	4	216	55
146.842993	146.842993	1	217	56
147.516372	146.842993	2	218	56
148.189751	146.842993	3	219	56
148.839909	146.842993	4	220	56
149.513288	149.513288	1	221	57
150.186667	149.513288	2	222	57
150.860045	149.513288	3	223	57
151.510204	149.513288	4	224	57
152.183583	152.183583	1	225	58
152.856961	152.183583	2	226	58
153.507120	152.183583	3	227	58
154.180499	152.183583	4	228	58
154.853878	154.853878	1	229	59
155.527256	154.853878	2	230	59
156.177415	154.853878	3	231	59
156.850794	154.853878	4	232	59
157.524172	157.524172	1	233	60
158.197551	157.524172	2	234	60
158.847710	157.524172	3	235	60
159.521088	157.524172	4	236	60
160.194467	160.194467	1	237	61
160.867846	160.194467	2	238	61
161.518005	160.194467	3	239	61
162.191383	160.194467	4	240	61
162.864762	162.864762	1	241	62
163.514921	162.864762	2	242	62
164.188299	162.864762	3	243	62
164.861678	162.864762	4	244	62
165.535057	165.535057	1	245	63
166.185215	165.535057	2	246	63
166.858594	165.535057	3	247	63
167.508753	165.535057	4	248	63
168.182132	168.182132	1	249	64
168.855510	168.182132	2	250	64
169.528889	168.182132	3	251	64
170.179048	168.182132	4	252	64
170.852426	170.852426	1	253	65
171.525805	170.852426	2	254	65
172.199184	170.852426	3	255	65
172.849342	170.852426	4	256	65
173.522721	173.522721	1	257	66
174.196100	173.522721	2	258	66
174.869478	173.522721	3	259	66
175.519637	173.522721	4	260	66
176.193016	176.193016	1	261	67
176.866395	176.193016	2	262	67
177.516553	176.193016	3	263	67
178.189932	176.193016	4	264	67
178.863311	178.863311	1	265	68
179.536689	178.863311	2	266	68
180.186848	178.863311	3	267	68
180.860227	178.863311	4	268	68
181.510385	181.510385	1	269	69
