bar_num,downbeat_time_uncorrected_s,tempo_uncorrected_bpm,downbeat_time_corrected_s,tempo_corrected_bpm,usable
0,0.20898,89.88,0.20898,90.67,True
1,2.879274,89.1,2.856054,89.88,True
2,5.572789,91.47,5.526349,89.88,True
3,8.196644,90.67,8.196644,90.67,True
4,10.843719,91.47,10.843719,91.47,True
5,13.467574,87.59,13.467574,88.34,True
6,16.207528,90.67,16.184308,89.88,True
7,18.854603,89.88,18.854603,89.88,True
8,21.524898,90.67,21.524898,90.67,True
9,24.171973,89.88,24.171973,89.88,True
10,26.842268,89.88,26.842268,89.88,True
11,29.512562,89.88,29.512562,89.88,True
12,32.182857,89.88,32.182857,89.88,True
13,34.853152,89.88,34.853152,89.88,True
14,37.523447,89.88,37.523447,89.88,True
15,40.193741,90.67,40.193741,90.67,True
16,42.840816,89.88,42.840816,89.88,True
17,45.511111,89.88,45.511111,89.88,True
18,48.181406,89.88,48.181406,89.88,True
19,50.851701,72.28,50.851701,89.88,True
20,54.172154,120.19,53.521995,90.67,True
21,56.16907,89.88,56.16907,89.88,True
22,58.839365,89.88,58.839365,89.88,True
23,61.50966,89.88,61.50966,89.88,True
24,64.179955,89.88,64.179955,89.88,True
25,66.850249,89.88,66.850249,89.88,True
26,69.520544,90.67,69.520544,90.67,True
27,72.167619,89.88,72.167619,89.88,True
28,74.837914,89.88,74.837914,89.88,True
29,77.508209,89.88,77.508209,89.88,True
30,80.178503,89.88,80.178503,89.88,True
31,82.848798,89.88,82.848798,89.88,True
32,85.519093,89.88,85.519093,89.88,True
33,88.189388,90.67,88.189388,90.67,True
34,90.836463,89.88,90.836463,89.88,True
35,93.506757,89.88,93.506757,89.88,True
36,96.177052,89.88,96.177052,89.88,True
37,98.847347,89.88,98.847347,89.88,True
38,101.517642,89.88,101.517642,89.88,True
39,104.187937,90.67,104.187937,90.67,True
40,106.835011,89.88,106.835011,89.88,True
41,109.505306,89.88,109.505306,89.88,True
42,112.175601,89.88,112.175601,89.88,True
43,114.845896,89.88,114.845896,89.88,True
44,117.51619,89.88,117.51619,89.88,True
45,120.186485,89.88,120.186485,89.88,True
46,122.85678,89.88,122.85678,89.88,True
47,125.527075,89.88,125.527075,89.88,True
48,128.19737,90.67,128.19737,90.67,True
49,130.844444,89.88,130.844444,89.88,True
50,133.514739,89.88,133.514739,89.88,True
51,136.185034,89.88,136.185034,89.88,True
52,138.855329,89.88,138.855329,89.88,True
53,141.525624,89.88,141.525624,89.88,True
54,144.195918,90.67,144.195918,90.67,True
55,146.842993,89.88,146.842993,89.88,True
56,149.513288,89.88,149.513288,89.88,True
57,152.183583,89.88,152.183583,89.88,True
58,154.853878,89.88,154.853878,89.88,True
59,157.524172,89.88,157.524172,89.88,True
60,160.194467,89.88,160.194467,89.88,True
61,162.864762,89.88,162.864762,89.88,True
62,165.535057,90.67,165.535057,90.67,True
63,168.182132,89.88,168.182132,89.88,True
64,170.852426,89.88,170.852426,89.88,True
65,173.522721,89.88,173.522721,89.88,True
66,176.193016,89.88,176.193016,89.88,True
67,178.863311,90.67,178.863311,90.67,True
68,181.510385,,,,False
