# time_signature=4
# dominant_major=normal
# factor2_orientation=
# filter_percent=±10.000%
# base_avg_corrected=90.02
# avg_kept_corrected=90.02
# usable_base_bpm=89.88
# usable_count=68
# total_bars=68
# bpm_charts_threshold=135.0
# double_bpm_chart_adjusted=True
corrected_bar_num	bar_num	corrected_downbeat_time(s)	next_downbeat_time(s)	duration_s	tempo_bpm	usable	bpm_threshold	action	removed_downbeat_time(s)	inserted_downbeat_time(s)
1	1	0.208980	2.856054	2.647074	90.67	1	none	unchanged		
2	2	2.856054	5.526349	2.670295	89.88	1	none	unchanged		
3	3	5.526349	8.196644	2.670295	89.88	1	none	unchanged		
4	4	8.196644	10.843719	2.647075	90.67	1	none	unchanged		
5	5	10.843719	13.467574	2.623855	91.47	1	none	unchanged		
6	6	13.467574	16.184308	2.716734	88.34	1	none	unchanged		
7	7	16.184308	18.854603	2.670295	89.88	1	none	unchanged		
8	8	18.854603	21.524898	2.670295	89.88	1	none	unchanged		
9	9	21.524898	24.171973	2.647075	90.67	1	none	unchanged		
10	10	24.171973	26.842268	2.670295	89.88	1	none	unchanged		
11	11	26.842268	29.512562	2.670294	89.88	1	none	unchanged		
12	12	29.512562	32.182857	2.670295	89.88	1	none	unchanged		
13	13	32.182857	34.853152	2.670295	89.88	1	none	unchanged		
14	14	34.853152	37.523447	2.670295	89.88	1	none	unchanged		
15	15	37.523447	40.193741	2.670294	89.88	1	none	unchanged		
16	16	40.193741	42.840816	2.647075	90.67	1	none	unchanged		
17	17	42.840816	45.511111	2.670295	89.88	1	none	unchanged		
18	18	45.511111	48.181406	2.670295	89.88	1	none	unchanged		
19	19	48.181406	50.851701	2.670295	89.88	1	none	unchanged		
20	20	50.851701	53.521995	2.670294	89.88	1	none	unchanged		
21	21	53.521995	56.169070	2.647075	90.67	1	none	unchanged		
22	22	56.169070	58.839365	2.670295	89.88	1	none	unchanged		
23	23	58.839365	61.509660	2.670295	89.88	1	none	unchanged		
24	24	61.509660	64.179955	2.670295	89.88	1	none	unchanged		
25	25	64.179955	66.850249	2.670294	89.88	1	none	unchanged		
26	26	66.850249	69.520544	2.670295	89.88	1	none	unchanged		
27	27	69.520544	72.167619	2.647075	90.67	1	none	unchanged		
28	28	72.167619	74.837914	2.670295	89.88	1	none	unchanged		
29	29	74.837914	77.508209	2.670295	89.88	1	none	unchanged		
30	30	77.508209	80.178503	2.670294	89.88	1	none	unchanged		
31	31	80.178503	82.848798	2.670295	89.88	1	none	unchanged		
32	32	82.848798	85.519093	2.670295	89.88	1	none	unchanged		
33	33	85.519093	88.189388	2.670295	89.88	1	none	unchanged		
34	34	88.189388	90.836463	2.647075	90.67	1	none	unchanged		
35	35	90.836463	93.506757	2.670294	89.88	1	none	unchanged		
36	36	93.506757	96.177052	2.670295	89.88	1	none	unchanged		
37	37	96.177052	98.847347	2.670295	89.88	1	none	unchanged		
38	38	98.847347	101.517642	2.670295	89.88	1	none	unchanged		
39	39	101.517642	104.187937	2.670295	89.88	1	none	unchanged		
40	40	104.187937	106.835011	2.647074	90.67	1	none	unchanged		
41	41	106.835011	109.505306	2.670295	89.88	1	none	unchanged		
42	42	109.505306	112.175601	2.670295	89.88	1	none	unchanged		
43	43	112.175601	114.845896	2.670295	89.88	1	none	unchanged		
44	44	114.845896	117.516190	2.670294	89.88	1	none	unchanged		
45	45	117.516190	120.186485	2.670295	89.88	1	none	unchanged		
46	46	120.186485	122.856780	2.670295	89.88	1	none	unchanged		
47	47	122.856780	125.527075	2.670295	89.88	1	none	unchanged		
48	48	125.527075	128.197370	2.670295	89.88	1	none	unchanged		
49	49	128.197370	130.844444	2.647074	90.67	1	none	unchanged		
50	50	130.844444	133.514739	2.670295	89.88	1	none	unchanged		
51	51	133.514739	136.185034	2.670295	89.88	1	none	unchanged		
52	52	136.185034	138.855329	2.670295	89.88	1	none	unchanged		
53	53	138.855329	141.525624	2.670295	89.88	1	none	unchanged		
54	54	141.525624	144.195918	2.670294	89.88	1	none	unchanged		
55	55	144.195918	146.842993	2.647075	90.67	1	none	unchanged		
56	56	146.842993	149.513288	2.670295	89.88	1	none	unchanged		
57	57	149.513288	152.183583	2.670295	89.88	1	none	unchanged		
58	58	152.183583	154.853878	2.670295	89.88	1	none	unchanged		
59	59	154.853878	157.524172	2.670294	89.88	1	none	unchanged		
60	60	157.524172	160.194467	2.670295	89.88	1	none	unchanged		
61	61	160.194467	162.864762	2.670295	89.88	1	none	unchanged		
62	62	162.864762	165.535057	2.670295	89.88	1	none	unchanged		
63	63	165.535057	168.182132	2.647075	90.67	1	none	unchanged		
64	64	168.182132	170.852426	2.670294	89.88	1	none	unchanged		
65	65	170.852426	173.522721	2.670295	89.88	1	none	unchanged		
66	66	173.522721	176.193016	2.670295	89.88	1	none	unchanged		
67	67	176.193016	178.863311	2.670295	89.88	1	none	unchanged		
68	68	178.863311	181.510385	2.647074	90.67	1	none	unchanged		
