method,bar_number,bar_number_global,ref_ms,ref_phase,grid_phase
per_snippet,0,0,0.0,0.0,0.0
drum(L=1),0,0,0.0,0.0,0.0
drum(L=1),1,1,0.0,0.0,0.0
drum(L=1),2,2,0.0,0.0,0.0
drum(L=1),3,3,0.0,0.0,0.0
drum(L=1),4,4,0.0,0.0,0.0
drum(L=1),5,5,0.0,0.0,0.0
drum(L=1),6,6,0.0,0.0,0.0
drum(L=1),7,7,0.0,0.0,0.0
drum(L=1),8,8,46.43986848072501,0.01754384310256604,0.0
drum(L=1),9,9,69.65965306122257,0.02608687544305876,0.0
drum(L=1),10,10,69.65943764171811,0.02608680453976909,0.0
drum(L=1),11,11,69.66022222222179,0.026087088588422555,0.0
mel(L=1),0,0,0.0,0.0,0.0
mel(L=1),1,1,0.0,0.0,0.0
mel(L=1),2,2,0.0,0.0,0.0
mel(L=1),3,3,0.0,0.0,0.0
mel(L=1),4,4,0.0,0.0,0.0
mel(L=1),5,5,0.0,0.0,0.0
mel(L=1),6,6,0.0,0.0,0.0
mel(L=1),7,7,0.0,0.0,0.0
mel(L=1),8,8,46.43986848072501,0.01754384310256604,0.0
mel(L=1),9,9,69.65965306122257,0.02608687544305876,0.0
mel(L=1),10,10,69.65943764171811,0.02608680453976909,0.0
mel(L=1),11,11,69.66022222222179,0.026087088588422555,0.0
pitch(L=4),0,0,0.0,0.0,0.0
pitch(L=4),4,4,0.0,0.0,0.0
pitch(L=4),8,8,46.43986848072501,0.01742917888151944,0.0
