beat_time(s)	downbeat_time(s)	beat_pos	global_beat	bar_num
0.766259	0.766259	1	0	1
1.532517	0.766259	2	1	1
2.368435	0.766259	3	2	1
3.157914	0.766259	4	3	1
4.040272	4.017052	1	4	2
4.806531	4.017052	2	5	2
5.596009	4.017052	3	6	2
6.385488	4.017052	4	7	2
7.198186	7.174966	1	8	3
7.987664	7.174966	2	9	3
8.800363	7.174966	3	10	3
9.613061	7.174966	4	11	3
10.425760	10.425760	1	12	4
11.215238	10.425760	2	13	4
12.027937	10.425760	3	14	4
12.840635	10.425760	4	15	4
13.653333	13.653333	1	16	5
14.442812	13.653333	2	17	5
15.255510	13.653333	3	18	5
16.068209	13.653333	4	19	5
16.880907	16.880907	1	20	6
17.670385	16.880907	2	21	6
18.483084	16.880907	3	22	6
19.295782	16.880907	4	23	6
20.108481	20.108481	1	24	7
20.897959	20.108481	2	25	7
21.710658	20.108481	3	26	7
22.500136	20.108481	4	27	7
23.312834	23.312834	1	28	8
24.125533	23.312834	2	29	8
24.915011	23.312834	3	30	8
25.727710	23.312834	4	31	8
26.540408	26.540408	1	32	9
27.353107	26.540408	2	33	9
28.142585	26.540408	3	34	9
28.955283	26.540408	4	35	9
29.744762	29.744762	1	36	10
30.557460	29.744762	2	37	10
31.370159	29.744762	3	38	10
32.182857	29.744762	4	39	10
32.972336	32.972336	1	40	11
33.785034	32.972336	2	41	11
34.597732	32.972336	3	42	11
35.387211	32.972336	4	43	11
36.199909	36.199909	1	44	12
37.012608	36.199909	2	45	12
37.825306	36.199909	3	46	12
38.614785	36.199909	4	47	12
39.427483	39.427483	1	48	13
40.216961	39.427483	2	49	13
41.029660	39.427483	3	50	13
41.842358	39.427483	4	51	13
42.631837	42.631837	1	52	14
43.444535	42.631837	2	53	14
44.257234	42.631837	3	54	14
45.069932	42.631837	4	55	14
45.859410	45.859410	1	56	15
46.672109	45.859410	2	57	15
47.461587	45.859410	3	58	15
48.274286	45.859410	4	59	15
49.086984	49.086984	1	60	16
49.899683	49.086984	2	61	16
50.712381	49.086984	3	62	16
51.501859	49.086984	4	63	16
52.314558	52.314558	1	64	17
53.127256	52.314558	2	65	17
53.916735	52.314558	3	66	17
54.729433	52.314558	4	67	17
55.542132	55.542132	1	68	18
56.331610	55.542132	2	69	18
57.144308	55.542132	3	70	18
57.957007	55.542132	4	71	18
58.746485	58.746485	1	72	19
59.559184	58.746485	2	73	19
60.371882	58.746485	3	74	19
61.184580	58.746485	4	75	19
61.974059	61.974059	1	76	20
62.786757	61.974059	2	77	20
63.599456	61.974059	3	78	20
64.388934	61.974059	4	79	20
65.201633	65.201633	1	80	21
65.991111	65.201633	2	81	21
66.803810	65.201633	3	82	21
67.616508	65.201633	4	83	21
68.405986	68.405986	1	84	22
69.218685	68.405986	2	85	22
70.031383	68.405986	3	86	22
70.844082	68.405986	4	87	22
71.633560	71.633560	1	88	23
72.446259	71.633560	2	89	23
73.258957	71.633560	3	90	23
74.048435	71.633560	4	91	23
74.861134	74.861134	1	92	24
75.673832	74.861134	2	93	24
76.463311	74.861134	3	94	24
77.276009	74.861134	4	95	24
78.088707	78.088707	1	96	25
78.878186	78.088707	2	97	25
79.690884	78.088707	3	98	25
80.503583	78.088707	4	99	25
81.316281	81.316281	1	100	26
82.105760	81.316281	2	101	26
82.918458	81.316281	3	102	26
83.731156	81.316281	4	103	26
84.520635	84.520635	1	104	27
85.333333	84.520635	2	105	27
86.122812	84.520635	3	106	27
86.935510	84.520635	4	107	27
87.748209	87.748209	1	108	28
88.560907	87.748209	2	109	28
89.350385	87.748209	3	110	28
90.163084	87.748209	4	111	28
90.975782	90.975782	1	112	29
91.765261	90.975782	2	113	29
92.577959	90.975782	3	114	29
93.390658	90.975782	4	115	29
94.180136	94.180136	1	116	30
94.992834	94.180136	2	117	30
95.805533	94.180136	3	118	30
96.618231	94.180136	4	119	30
97.407710	97.407710	1	120	31
98.220408	97.407710	2	121	31
99.009887	97.407710	3	122	31
99.822585	97.407710	4	123	31
100.635283	100.635283	1	124	32
101.447982	100.635283	2	125	32
102.260680	100.635283	3	126	32
103.073379	100.635283	4	127	32
103.862857	103.862857	1	128	33
104.652336	103.862857	2	129	33
105.465034	103.862857	3	130	33
106.277732	103.862857	4	131	33
107.067211	107.067211	1	132	34
107.879909	107.067211	2	133	34
108.692608	107.067211	3	134	34
109.482086	107.067211	4	135	34
110.294785	110.294785	1	136	35
111.107483	110.294785	2	137	35
111.920181	110.294785	3	138	35
112.709660	110.294785	4	139	35
113.522358	113.522358	1	140	36
114.335057	113.522358	2	141	36
115.124535	113.522358	3	142	36
115.937234	113.522358	4	143	36
116.749932	116.749932	1	144	37
117.562630	116.749932	2	145	37
