bar_num,downbeat_time_uncorrected_s,tempo_uncorrected_bpm,downbeat_time_corrected_s,tempo_corrected_bpm,usable
0,0.766259,73.3,0.766259,73.83,True
1,4.040272,76.0,4.017052,76.0,True
2,7.198186,74.36,7.174966,73.83,True
3,10.42576,74.36,10.42576,74.36,True
4,13.653333,74.36,13.653333,74.36,True
5,16.880907,74.36,16.880907,74.36,True
6,20.108481,74.9,20.108481,74.9,True
7,23.312834,74.36,23.312834,74.36,True
8,26.540408,74.9,26.540408,74.9,True
9,29.744762,74.36,29.744762,74.36,True
10,32.972336,74.36,32.972336,74.36,True
11,36.199909,74.36,36.199909,74.36,True
12,39.427483,74.9,39.427483,74.9,True
13,42.631837,74.36,42.631837,74.36,True
14,45.85941,74.36,45.85941,74.36,True
15,49.086984,74.36,49.086984,74.36,True
16,52.314558,74.36,52.314558,74.36,True
17,55.542132,74.9,55.542132,74.9,True
18,58.746485,74.36,58.746485,74.36,True
19,61.974059,74.36,61.974059,74.36,True
20,65.201633,74.9,65.201633,74.9,True
21,68.405986,74.36,68.405986,74.36,True
22,71.63356,74.36,71.63356,74.36,True
23,74.861134,74.36,74.861134,74.36,True
24,78.088707,74.36,78.088707,74.36,True
25,81.316281,74.9,81.316281,74.9,True
26,84.520635,74.36,84.520635,74.36,True
27,87.748209,74.36,87.748209,74.36,True
28,90.975782,74.9,90.975782,74.9,True
29,94.180136,74.36,94.180136,74.36,True
30,97.40771,74.36,97.40771,74.36,True
31,100.635283,74.36,100.635283,74.36,True
32,103.862857,74.9,103.862857,74.9,True
33,107.067211,74.36,107.067211,74.36,True
34,110.294785,74.36,110.294785,74.36,True
35,113.522358,74.36,113.522358,74.36,True
36,116.749932,,,,False
