# time_signature=4
# dominant_major=normal
# factor2_orientation=
# filter_percent=±10.000%
# base_avg_corrected=74.50
# avg_kept_corrected=74.50
# usable_base_bpm=74.36
# usable_count=36
# total_bars=36
# bpm_charts_threshold=135.0
# double_bpm_chart_adjusted=True
corrected_bar_num	bar_num	corrected_downbeat_time(s)	next_downbeat_time(s)	duration_s	tempo_bpm	usable	bpm_threshold	action	removed_downbeat_time(s)	inserted_downbeat_time(s)
1	1	0.766259	4.017052	3.250793	73.83	1	none	unchanged		
2	2	4.017052	7.174966	3.157914	76.00	1	none	unchanged		
3	3	7.174966	10.425760	3.250794	73.83	1	none	unchanged		
4	4	10.425760	13.653333	3.227573	74.36	1	none	unchanged		
5	5	13.653333	16.880907	3.227574	74.36	1	none	unchanged		
6	6	16.880907	20.108481	3.227574	74.36	1	none	unchanged		
7	7	20.108481	23.312834	3.204353	74.90	1	none	unchanged		
8	8	23.312834	26.540408	3.227574	74.36	1	none	unchanged		
9	9	26.540408	29.744762	3.204354	74.90	1	none	unchanged		
10	10	29.744762	32.972336	3.227574	74.36	1	none	unchanged		
11	11	32.972336	36.199909	3.227573	74.36	1	none	unchanged		
12	12	36.199909	39.427483	3.227574	74.36	1	none	unchanged		
13	13	39.427483	42.631837	3.204354	74.90	1	none	unchanged		
14	14	42.631837	45.859410	3.227573	74.36	1	none	unchanged		
15	15	45.859410	49.086984	3.227574	74.36	1	none	unchanged		
16	16	49.086984	52.314558	3.227574	74.36	1	none	unchanged		
17	17	52.314558	55.542132	3.227574	74.36	1	none	unchanged		
18	18	55.542132	58.746485	3.204353	74.90	1	none	unchanged		
19	19	58.746485	61.974059	3.227574	74.36	1	none	unchanged		
20	20	61.974059	65.201633	3.227574	74.36	1	none	unchanged		
21	21	65.201633	68.405986	3.204353	74.90	1	none	unchanged		
22	22	68.405986	71.633560	3.227574	74.36	1	none	unchanged		
23	23	71.633560	74.861134	3.227574	74.36	1	none	unchanged		
24	24	74.861134	78.088707	3.227573	74.36	1	none	unchanged		
25	25	78.088707	81.316281	3.227574	74.36	1	none	unchanged		
26	26	81.316281	84.520635	3.204354	74.90	1	none	unchanged		
27	27	84.520635	87.748209	3.227574	74.36	1	none	unchanged		
28	28	87.748209	90.975782	3.227573	74.36	1	none	unchanged		
29	29	90.975782	94.180136	3.204354	74.90	1	none	unchanged		
30	30	94.180136	97.407710	3.227574	74.36	1	none	unchanged		
31	31	97.407710	100.635283	3.227573	74.36	1	none	unchanged		
32	32	100.635283	103.862857	3.227574	74.36	1	none	unchanged		
33	33	103.862857	107.067211	3.204354	74.90	1	none	unchanged		
34	34	107.067211	110.294785	3.227574	74.36	1	none	unchanged		
35	35	110.294785	113.522358	3.227573	74.36	1	none	unchanged		
36	36	113.522358	116.749932	3.227574	74.36	1	none	unchanged		
