method,bar_number,bar_number_global,ref_ms,ref_phase,grid_phase
per_snippet,0,0,0.0,0.0,0.0
drum(L=2),0,0,0.0,0.0,0.0
drum(L=2),2,2,0.0,0.0,0.0
drum(L=2),4,4,81.27002267573502,0.52517990994962,0.5
drum(L=2),6,6,0.0,0.0,0.0
drum(L=2),8,8,69.66002721089026,0.021660698692799508,0.0
mel(L=2),0,0,0.0,0.0,0.0
mel(L=2),2,2,0.0,0.0,0.0
mel(L=2),4,4,81.27002267573502,0.52517990994962,0.5
mel(L=2),6,6,0.0,0.0,0.0
mel(L=2),8,8,69.66002721089026,0.021660698692799508,0.0
pitch(L=8),4,4,84.17221017573695,0.5261260878644681,0.49999999999999994
pitch(L=8),8,8,69.66002721089026,0.021621672011962457,0.0
