beat_time(s)	downbeat_time(s)	beat_pos	global_beat	bar_num
0.394739	0.000000	0	0	0
1.230658	0.000000	0	1	0
2.020136	0.000000	0	2	0
2.879274	2.879274	1	3	1
3.691973	2.879274	2	4	1
4.527891	2.879274	3	5	1
5.340590	2.879274	4	6	1
6.176508	6.176508	1	7	2
6.965986	6.176508	2	8	2
7.825125	6.176508	3	9	2
8.637823	6.176508	4	10	2
9.450522	9.450522	1	11	3
10.263220	9.450522	2	12	3
11.099138	9.450522	3	13	3
11.935057	9.450522	4	14	3
12.840635	12.840635	1	15	4
13.699773	12.840635	2	16	4
14.419592	12.840635	3	17	4
15.278730	12.840635	4	18	4
16.114649	12.840635	5	19	4
16.950567	16.532608	1	20	5
17.716825	16.532608	2	21	5
18.552744	16.532608	3	22	5
19.388662	16.532608	4	23	5
20.062041	19.899501	1	24	6
20.688980	19.899501	2	25	6
21.501678	19.899501	3	26	6
22.291156	19.899501	4	27	6
23.150295	23.150295	1	28	7
23.939773	23.150295	2	29	7
24.613152	23.150295	3	30	7
25.449070	23.150295	4	31	7
26.261769	26.261769	1	32	8
27.074467	26.261769	2	33	8
27.933605	26.261769	3	34	8
28.746304	26.261769	4	35	8
29.559002	26.261769	5	36	8
30.394921	29.582222	1	37	9
31.207619	29.582222	2	38	9
32.020317	29.582222	3	39	9
32.856236	32.856236	1	40	10
33.668934	32.856236	2	41	10
34.504853	32.856236	3	42	10
35.317551	32.856236	4	43	10
36.153469	36.153469	1	44	11
36.966168	36.153469	2	45	11
37.778866	36.153469	3	46	11
38.591565	36.153469	4	47	11
39.427483	39.427483	1	48	12
40.263401	39.427483	2	49	12
41.076100	39.427483	3	50	12
41.912018	39.427483	4	51	12
42.724717	42.724717	1	52	13
43.560635	42.724717	2	53	13
44.373333	42.724717	3	54	13
45.186032	42.724717	4	55	13
45.998730	45.998730	1	56	14
46.834649	45.998730	2	57	14
47.647347	45.998730	3	58	14
48.460045	45.998730	4	59	14
49.295964	49.295964	1	60	15
50.108662	49.295964	2	61	15
50.944580	49.295964	3	62	15
51.757279	49.295964	4	63	15
52.593197	52.593197	1	64	16
53.382676	52.593197	2	65	16
54.241814	52.593197	3	66	16
55.008073	52.593197	4	67	16
55.495692	52.593197	5	68	16
55.890431	55.890431	1	69	17
56.285170	55.890431	2	70	17
