bar_num,downbeat_time_uncorrected_s,tempo_uncorrected_bpm,downbeat_time_corrected_s,tempo_corrected_bpm,usable
0,2.879274,72.79,2.879274,72.79,True
1,6.176508,73.3,6.176508,73.3,True
2,9.450522,70.79,9.450522,70.79,True
3,12.840635,58.4,12.840635,65.01,False
4,16.950567,77.13,16.532608,71.28,True
5,20.062041,77.71,19.899501,73.83,True
6,23.150295,77.13,23.150295,77.13,True
7,26.261769,58.07,26.261769,72.28,True
8,30.394921,97.51,29.582222,73.3,True
9,32.856236,72.79,32.856236,72.79,True
10,36.153469,73.3,36.153469,73.3,True
11,39.427483,72.79,39.427483,72.79,True
12,42.724717,73.3,42.724717,73.3,True
13,45.99873,72.79,45.99873,72.79,True
14,49.295964,72.79,49.295964,72.79,True
15,52.593197,72.79,52.593197,72.79,True
16,55.890431,73.3,55.890431,73.3,True
17,59.164444,73.3,59.164444,73.83,True
18,62.438458,73.3,62.415238,72.79,True
19,65.712472,73.3,65.712472,73.3,True
20,68.986485,72.79,68.986485,72.79,True
21,72.283719,72.79,72.283719,72.79,True
22,75.580952,73.3,75.580952,73.3,True
23,78.854966,72.28,78.854966,72.28,True
24,82.17542,72.79,82.17542,72.79,True
25,85.472653,73.3,85.472653,73.3,True
26,88.746667,73.3,88.746667,73.3,True
27,92.02068,72.28,92.02068,72.28,True
28,95.341134,73.3,95.341134,73.3,True
29,98.615147,72.79,98.615147,72.79,True
30,101.912381,73.3,101.912381,73.3,True
31,105.186395,72.79,105.186395,72.79,True
32,108.483628,73.3,108.483628,73.3,True
33,111.757642,72.79,111.757642,72.79,True
34,115.054875,73.3,115.054875,73.3,True
35,118.328889,72.79,118.328889,72.79,True
36,121.626122,72.79,121.626122,72.79,True
37,124.923356,73.3,124.923356,73.3,True
38,128.19737,72.79,128.19737,72.79,True
39,131.494603,73.3,131.494603,73.3,True
40,134.768617,82.69,134.768617,83.35,False
41,137.671111,73.3,137.647891,72.79,True
42,140.945125,72.79,140.945125,72.79,True
43,144.242358,72.79,144.242358,72.79,True
44,147.539592,65.42,147.539592,66.26,True
45,151.208345,72.79,151.161905,71.78,True
46,154.505578,73.3,154.505578,73.3,True
47,157.779592,72.79,157.779592,72.79,True
48,161.076825,72.79,161.076825,72.79,True
49,164.374059,73.3,164.374059,73.3,True
50,167.648073,72.79,167.648073,72.79,True
51,170.945306,73.3,170.945306,73.3,True
52,174.21932,72.79,174.21932,72.79,True
53,177.516553,73.3,177.516553,73.3,True
54,180.790567,73.3,180.790567,73.3,True
55,184.06458,72.28,184.06458,72.28,True
56,187.385034,58.73,187.385034,72.79,True
57,191.471746,97.51,190.682268,73.83,True
58,193.933061,72.79,193.933061,72.79,True
59,197.230295,72.79,197.230295,72.79,True
60,200.527528,72.79,200.527528,73.3,True
61,203.824762,73.3,203.801542,72.79,True
62,207.098776,72.79,207.098776,72.79,True
63,210.396009,72.79,210.396009,72.79,True
64,213.693243,73.3,213.693243,73.3,True
65,216.967256,72.79,216.967256,72.79,True
66,220.26449,72.79,220.26449,72.79,True
67,223.561723,73.83,223.561723,73.83,True
68,226.812517,72.79,226.812517,72.79,True
69,230.109751,73.3,230.109751,73.3,True
70,233.383764,72.28,233.383764,72.28,True
71,236.704218,73.3,236.704218,73.3,True
72,239.978231,72.79,239.978231,72.79,True
73,243.275465,73.3,243.275465,73.3,True
74,246.549478,72.79,246.549478,72.79,True
75,249.846712,72.79,249.846712,72.79,True
76,253.143946,73.3,253.143946,73.3,True
77,256.417959,72.79,256.417959,73.3,True
78,259.715193,73.3,259.691973,72.79,True
79,262.989206,72.79,262.989206,72.79,True
80,266.28644,72.79,266.28644,72.79,True
81,269.583673,72.79,269.583673,72.79,True
82,272.880907,,,,False
