# time_signature=4
# dominant_major=normal
# factor2_orientation=
# filter_percent=±10.000%
# base_avg_corrected=72.93
# avg_kept_corrected=72.90
# usable_base_bpm=72.79
# usable_count=80
# total_bars=82
# bpm_charts_threshold=135.0
# double_bpm_chart_adjusted=True
corrected_bar_num	bar_num	corrected_downbeat_time(s)	next_downbeat_time(s)	duration_s	tempo_bpm	usable	bpm_threshold	action	removed_downbeat_time(s)	inserted_downbeat_time(s)
1	1	2.879274	6.176508	3.297234	72.79	1	none	unchanged		
2	2	6.176508	9.450522	3.274014	73.30	1	none	unchanged		
3	3	9.450522	12.840635	3.390113	70.79	1	none	unchanged		
4	4	12.840635	16.532608	3.691973	65.01	0	none	unchanged		
5	5	16.532608	19.899501	3.366893	71.28	1	none	unchanged		
6	6	19.899501	23.150295	3.250794	73.83	1	none	unchanged		
7	7	23.150295	26.261769	3.111474	77.13	1	none	unchanged		
8	8	26.261769	29.582222	3.320453	72.28	1	none	unchanged		
9	9	29.582222	32.856236	3.274014	73.30	1	none	unchanged		
10	10	32.856236	36.153469	3.297233	72.79	1	none	unchanged		
11	11	36.153469	39.427483	3.274014	73.30	1	none	unchanged		
12	12	39.427483	42.724717	3.297234	72.79	1	none	unchanged		
13	13	42.724717	45.998730	3.274013	73.30	1	none	unchanged		
14	14	45.998730	49.295964	3.297234	72.79	1	none	unchanged		
15	15	49.295964	52.593197	3.297233	72.79	1	none	unchanged		
16	16	52.593197	55.890431	3.297234	72.79	1	none	unchanged		
17	17	55.890431	59.164444	3.274013	73.30	1	none	unchanged		
18	18	59.164444	62.415238	3.250794	73.83	1	none	unchanged		
19	19	62.415238	65.712472	3.297234	72.79	1	none	unchanged		
20	20	65.712472	68.986485	3.274013	73.30	1	none	unchanged		
21	21	68.986485	72.283719	3.297234	72.79	1	none	unchanged		
22	22	72.283719	75.580952	3.297233	72.79	1	none	unchanged		
23	23	75.580952	78.854966	3.274014	73.30	1	none	unchanged		
24	24	78.854966	82.175420	3.320454	72.28	1	none	unchanged		
25	25	82.175420	85.472653	3.297233	72.79	1	none	unchanged		
26	26	85.472653	88.746667	3.274014	73.30	1	none	unchanged		
27	27	88.746667	92.020680	3.274013	73.30	1	none	unchanged		
28	28	92.020680	95.341134	3.320454	72.28	1	none	unchanged		
29	29	95.341134	98.615147	3.274013	73.30	1	none	unchanged		
30	30	98.615147	101.912381	3.297234	72.79	1	none	unchanged		
31	31	101.912381	105.186395	3.274014	73.30	1	none	unchanged		
32	32	105.186395	108.483628	3.297233	72.79	1	none	unchanged		
33	33	108.483628	111.757642	3.274014	73.30	1	none	unchanged		
34	34	111.757642	115.054875	3.297233	72.79	1	none	unchanged		
35	35	115.054875	118.328889	3.274014	73.30	1	none	unchanged		
36	36	118.328889	121.626122	3.297233	72.79	1	none	unchanged		
37	37	121.626122	124.923356	3.297234	72.79	1	none	unchanged		
38	38	124.923356	128.197370	3.274014	73.30	1	none	unchanged		
39	39	128.197370	131.494603	3.297233	72.79	1	none	unchanged		
40	40	131.494603	134.768617	3.274014	73.30	1	none	unchanged		
41	41	134.768617	137.647891	2.879274	83.35	0	none	unchanged		
42	42	137.647891	140.945125	3.297234	72.79	1	none	unchanged		
43	43	140.945125	144.242358	3.297233	72.79	1	none	unchanged		
44	44	144.242358	147.539592	3.297234	72.79	1	none	unchanged		
45	45	147.539592	151.161905	3.622313	66.26	1	none	unchanged		
46	46	151.161905	154.505578	3.343673	71.78	1	none	unchanged		
47	47	154.505578	157.779592	3.274014	73.30	1	none	unchanged		
48	48	157.779592	161.076825	3.297233	72.79	1	none	unchanged		
49	49	161.076825	164.374059	3.297234	72.79	1	none	unchanged		
50	50	164.374059	167.648073	3.274014	73.30	1	none	unchanged		
51	51	167.648073	170.945306	3.297233	72.79	1	none	unchanged		
52	52	170.945306	174.219320	3.274014	73.30	1	none	unchanged		
53	53	174.219320	177.516553	3.297233	72.79	1	none	unchanged		
54	54	177.516553	180.790567	3.274014	73.30	1	none	unchanged		
55	55	180.790567	184.064580	3.274013	73.30	1	none	unchanged		
56	56	184.064580	187.385034	3.320454	72.28	1	none	unchanged		
57	57	187.385034	190.682268	3.297234	72.79	1	none	unchanged		
58	58	190.682268	193.933061	3.250793	73.83	1	none	unchanged		
59	59	193.933061	197.230295	3.297234	72.79	1	none	unchanged		
60	60	197.230295	200.527528	3.297233	72.79	1	none	unchanged		
61	61	200.527528	203.801542	3.274014	73.30	1	none	unchanged		
62	62	203.801542	207.098776	3.297234	72.79	1	none	unchanged		
63	63	207.098776	210.396009	3.297233	72.79	1	none	unchanged		
64	64	210.396009	213.693243	3.297234	72.79	1	none	unchanged		
65	65	213.693243	216.967256	3.274013	73.30	1	none	unchanged		
66	66	216.967256	220.264490	3.297234	72.79	1	none	unchanged		
67	67	220.264490	223.561723	3.297233	72.79	1	none	unchanged		
68	68	223.561723	226.812517	3.250794	73.83	1	none	unchanged		
69	69	226.812517	230.109751	3.297234	72.79	1	none	unchanged		
70	70	230.109751	233.383764	3.274013	73.30	1	none	unchanged		
71	71	233.383764	236.704218	3.320454	72.28	1	none	unchanged		
72	72	236.704218	239.978231	3.274013	73.30	1	none	unchanged		
73	73	239.978231	243.275465	3.297234	72.79	1	none	unchanged		
74	74	243.275465	246.549478	3.274013	73.30	1	none	unchanged		
75	75	246.549478	249.846712	3.297234	72.79	1	none	unchanged		
76	76	249.846712	253.143946	3.297234	72.79	1	none	unchanged		
77	77	253.143946	256.417959	3.274013	73.30	1	none	unchanged		
78	78	256.417959	259.691973	3.274014	73.30	1	none	unchanged		
79	79	259.691973	262.989206	3.297233	72.79	1	none	unchanged		
80	80	262.989206	266.286440	3.297234	72.79	1	none	unchanged		
81	81	266.286440	269.583673	3.297233	72.79	1	none	unchanged		
82	82	269.583673	272.880907	3.297234	72.79	1	none	unchanged		
