bar_number,bar_number_global,tick_16th,onset_time_uncorrected,phase_uncorrected,phase_per_snippet_remapped,phase_per_snippet,phase_drum(L=1),phase_mel(L=1),phase_pitch(L=2),grid_time_uncorrected,grid_time_per_snippet,grid_time_drum(L=1),grid_time_mel(L=1),grid_time_pitch(L=2)
0,0,0,,,,,,,,2.879274,2.879274,2.879274,2.879274,2.879274
0,0,1,,,,,,,,3.0853511250000003,3.0853511250000003,3.0853511250000003,3.0853511250000003,3.0846255
0,0,2,,,,,,,,3.29142825,3.29142825,3.29142825,3.29142825,3.289977
0,0,3,,,,,,,,3.4975053750000002,3.4975053750000002,3.4975053750000002,3.4975053750000002,3.4953285000000003
0,0,4,,,,,,,,3.7035825,3.7035825,3.7035825,3.7035825,3.70068
0,0,5,,,,,,,,3.909659625,3.909659625,3.909659625,3.909659625,3.9060315
0,0,6,,,,,,,,4.11573675,4.11573675,4.11573675,4.11573675,4.111383
0,0,7,,,,,,,,4.321813875,4.321813875,4.321813875,4.321813875,4.3167345
0,0,8,,,,,,,,4.527891,4.527891,4.527891,4.527891,4.522086
0,0,9,,,,,,,,4.7339681250000005,4.7339681250000005,4.7339681250000005,4.7339681250000005,4.7274375
0,0,10,,,,,,,,4.940045250000001,4.940045250000001,4.940045250000001,4.940045250000001,4.932789
0,0,11,,,,,,,,5.146122375,5.146122375,5.146122375,5.146122375,5.1381404999999996
0,0,12,,,,,,,,5.3521995,5.3521995,5.3521995,5.3521995,5.3434919999999995
0,0,13,,,,,,,,5.5582766249999995,5.5582766249999995,5.5582766249999995,5.5582766249999995,5.5488435
0,0,14,,,,,,,,5.76435375,5.76435375,5.76435375,5.76435375,5.754194999999999
0,0,15,,,,,,,,5.970430875,5.970430875,5.970430875,5.970430875,5.9595465
1,1,0,,,,,,,,6.176508,6.176508,6.176508,6.176508,6.164897999999999
1,1,1,,,,,,,,6.381133875,6.381133875,6.381133875,6.381133875,6.3702495
1,1,2,,,,,,,,6.58575975,6.58575975,6.58575975,6.58575975,6.575600999999999
1,1,3,,,,,,,,6.790385625,6.790385625,6.790385625,6.790385625,6.7809525
1,1,4,,,,,,,,6.9950115,6.9950115,6.9950115,6.9950115,6.986303999999999
1,1,5,,,,,,,,7.199637375,7.199637375,7.199637375,7.199637375,7.1916554999999995
1,1,6,,,,,,,,7.40426325,7.40426325,7.40426325,7.40426325,7.3970069999999986
1,1,7,,,,,,,,7.608889124999999,7.608889124999999,7.608889124999999,7.608889124999999,7.602358499999999
1,1,8,,,,,,,,7.813515,7.813515,7.813515,7.813515,7.80771
1,1,9,,,,,,,,8.018140875,8.018140875,8.018140875,8.018140875,8.0130615
