method,bar_number,bar_number_global,ref_ms,ref_phase,grid_phase
per_snippet,0,0,0.0,0.0,0.0
drum(L=1),0,0,0.0,0.0,0.0
drum(L=1),1,1,0.0,0.0,0.0
drum(L=1),2,2,0.0,0.0,0.0
drum(L=1),3,3,0.0,0.0,0.0
drum(L=1),4,4,0.0,0.0,0.0
drum(L=1),5,5,-92.87994671201716,0.7214285350864997,0.75
drum(L=1),6,6,11.609704081635641,0.7537312553733811,0.75
drum(L=1),7,7,92.87952607709471,0.02797194421276094,0.0
drum(L=1),8,8,69.66008616779717,0.021276661055144284,0.0
mel(L=1),0,0,0.0,0.0,0.0
mel(L=1),1,1,0.0,0.0,0.0
mel(L=1),2,2,0.0,0.0,0.0
mel(L=1),3,3,0.0,0.0,0.0
mel(L=1),4,4,0.0,0.0,0.0
mel(L=1),5,5,-92.87994671201716,0.7214285350864997,0.75
mel(L=1),6,6,11.609704081635641,0.7537312553733811,0.75
mel(L=1),7,7,92.87952607709471,0.02797194421276094,0.0
mel(L=1),8,8,69.66008616779717,0.021276661055144284,0.0
pitch(L=2),0,0,0.0,0.0,0.0
pitch(L=2),2,2,0.0,0.0,0.0
pitch(L=2),5,5,-72.56260175736884,0.22807010160578262,0.25000000000000067
pitch(L=2),7,7,-11.60997392290497,-0.0036101074912401735,0.0
pitch(L=2),8,8,69.66008616779717,0.021201481596353683,0.0
