bar_number,bar_number_global,tick_16th,onset_time_uncorrected,phase_uncorrected,phase_per_snippet_remapped,phase_per_snippet,phase_drum(L=8),phase_mel(L=8),phase_pitch(L=8),grid_time_uncorrected,grid_time_per_snippet,grid_time_drum(L=8),grid_time_mel(L=8),grid_time_pitch(L=8)
0,32,0,,,,,0.07838021669219758,0.07838021669219758,0.07838021669219758,51.3161,51.3161,51.36036281356293,51.36036281356293,51.36036281356293
0,32,1,51.38575963718821,0.10597811583127784,0.10597811583127784,0.10597811583127784,,,,51.4162360625,51.4162360625,51.46031746200043,51.46031746200043,51.46031746200043
0,32,2,,,,,,,,51.516372125,51.516372125,51.56027211043793,51.56027211043793,51.56027211043793
0,32,3,,,,,,,,51.6165081875,51.6165081875,51.66022675887543,51.66022675887543,51.66022675887543
0,32,4,,,,,0.32520417335375706,0.32520417335375706,0.32520417335375706,51.71664425,51.71664425,51.76018140731293,51.76018140731293,51.76018140731293
0,32,5,51.78049886621315,0.35235490754963444,0.35235490754963444,0.35235490754963444,,,,51.8167803125,51.8167803125,51.86013605575043,51.86013605575043,51.86013605575043
0,32,6,,,,,,,,51.916916375,51.916916375,51.96009070418793,51.96009070418793,51.96009070418793
0,32,7,,,,,,,,52.0170524375,52.0170524375,52.06004535262543,52.06004535262543,52.06004535262543
0,32,8,,,,,,,,52.1171885,52.1171885,52.160000001062926,52.160000001062926,52.160000001062926
0,32,9,,,,,,,,52.2173245625,52.2173245625,52.25995464950043,52.25995464950043,52.25995464950043
0,32,10,,,,,,,,52.317460625,52.317460625,52.35990929793793,52.35990929793793,52.35990929793793
0,32,11,,,,,,,,52.4175966875,52.4175966875,52.45986394637543,52.45986394637543,52.45986394637543
0,32,12,,,,,0.8188520866768806,0.8188520866768806,0.8188520866768806,52.51773275,52.51773275,52.55981859481293,52.55981859481293,52.55981859481293
0,32,13,52.56997732426304,0.845108490986352,0.845108490986352,0.845108490986352,,,,52.6178688125,52.6178688125,52.65977324325043,52.65977324325043,52.65977324325043
0,32,14,,,,,,,,52.718004875000005,52.718004875000005,52.75972789168793,52.75972789168793,52.75972789168793
0,32,15,,,,,,,,52.818140937500004,52.818140937500004,52.859682540125426,52.859682540125426,52.859682540125426
